type,type_str,img,title,url,dates_str,price,count,loops,size,color,product_type,date_times,status
1,時間指定注文,,【レゴ(R)認定販売店】レゴ(LEGO)スーパーマリオけっせんクッパ城！チャレンジ71369おもちゃブロック室内おうち時間,https://item.rakuten.co.jp/benelic-lcs/71369/,2022-03-04 19:58,,1,1,,,2,1065815758,監視中...
1,時間指定注文,,【流通限定商品】レゴ(LEGO)アディダスオリジナルススーパースター10282||おもちゃ玩具ブロックおうち時間大人オトナレゴインテリアディスプレイおしゃれホビー模型靴プレゼントギフト誕生日クリスマス,https://item.rakuten.co.jp/benelic-lcs/10282/,2022-03-04 01:26,,1,1,,,2,1065814646,注文失敗16.9952672
